personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
412236,111456965545421,Government official,"Rep. Steve Cohen [D, TN-9]",TN,9,424,10,0,321,12,0,161,4,0,765,40,0
300025,7593313361,Government official,"Sen. Susan Collins [R, ME]",ME,,439,5,2,0,0,0,300,6,2,698,0,0
400655,203482063021985,Government official,"Rep. Michael Conaway [R, TX-11]",TX,11,349,1,1,200,0,0,245,0,0,539,5,5
412272,177164035838,Government official,"Rep. Gerald Connolly [D, VA-11]",VA,11,254,0,0,220,0,0,157,0,0,276,0,0
300026,281958627884,Politician,"Sen. Kent Conrad [D, ND]",ND,,282,2,0,0,0,0,206,1,0,539,1,0
400080,206947066849,Government official,"Rep. John Conyers [D, MI-14]",MI,14,260,7,1,3,0,0,164,5,1,349,3,1
412390,7209432197,Politician,"Sen. Chris Coons [D, DE]",DE,,460,16,0,355,24,0,140,7,0,585,45,0
412248,109251415789533,Government official,"Sen. Bob Corker [R, TN]",TN,,353,8,5,0,0,0,355,5,4,757,21,17
300027,75755694423,Government official,"Sen. John Cornyn [R, TX]",TX,,377,7,5,332,14,12,359,5,5,695,0,0
400082,115552205154936,Government official,"Rep. Jerry Costello [D, IL-12]",IL,12,210,2,0,0,0,0,161,2,0,454,0,0
412193,330408799230,Government official,"Rep. Joe Courtney [D, CT-2]",CT,2,292,3,2,0,0,0,343,3,2,863,11,4
300030,80335332266,Government official,"Sen. Michael Crapo [R, ID]",ID,,325,4,3,9,0,0,332,6,6,721,6,5
412441,181282228558193,Government official,"Rep. Chip Cravaack [R, MN-8]",MN,8,251,4,1,3,0,0,379,5,0,943,9,3
412400,143344975723788,Government official,"Rep. Rick Crawford [R, AR-1]",AR,1,290,3,2,191,2,1,349,3,2,896,7,7
400086,200388204657,Government organization,"Rep. Ander Crenshaw [R, FL-4]",FL,4,205,4,1,176,5,1,99,2,2,305,22,0
412386,124105914288036,Government official,"Rep. Mark Critz [D, PA-12]",PA,12,170,1,0,0,0,0,102,2,0,300,0,0
400087,22137505280,Politician,"Rep. Joseph Crowley [D, NY-7]",NY,7,288,2,1,219,3,2,116,0,0,251,0,0
400657,152569121550,Government official,"Rep. Henry Cuellar [D, TX-28]",TX,28,273,3,1,4,0,0,219,1,0,727,5,1
400089,1751723339,,"Rep. John Culberson [R, TX-7]",TX,7,100,1,1,0,0,0,54,2,2,121,6,6
400090,291368465380,Government official,"Rep. Elijah Cummings [D, MD-7]",MD,7,267,4,0,0,0,0,168,0,0,363,6,0
400633,6442966307,Politician,"Rep. Geoff Davis [R, KY-4]",KY,4,418,7,3,343,8,4,150,3,1,328,11,0
400097,103767526332478,Government official,"Rep. Susan Davis [D, CA-53]",CA,53,285,4,3,0,0,0,241,3,2,490,4,4
400100,94324364811,Government official,"Rep. Peter DeFazio [D, OR-4]",OR,4,271,1,0,0,0,0,147,1,0,397,0,0
400101,110757973488,Government official,"Rep. Diana DeGette [D, CO-1]",CO,1,440,16,1,347,26,0,201,5,4,873,110,17
400103,181302611907634,Government official,"Rep. Rosa DeLauro [D, CT-3]",CT,3,99,1,1,74,1,1,37,0,0,83,0,0
400105,19787180818,Politician,"Sen. Jim DeMint [R, SC]",SC,,335,3,1,290,5,1,158,0,0,260,1,0
412403,133714040028137,Government official,"Rep. Jeff Denham [R, CA-19]",CA,19,322,1,1,217,2,2,324,2,2,730,4,4
400648,69862092533,Government official,"Rep. Charles Dent [R, PA-15]",PA,15,274,3,0,269,5,0,455,1,0,616,15,0
412477,145110472209094,Government official,"Rep. Scott DesJarlais [R, TN-4]",TN,4,202,2,1,297,2,2,403,1,1,495,1,0
400108,119538428117878,Government official,"Rep. Mario Diaz-Balart [R, FL-21]",FL,21,65,1,0,0,0,0,38,0,0,78,1,0
400109,19693668376,Government official,"Rep. Norman Dicks [D, WA-6]",WA,6,147,4,0,1,0,0,103,2,0,190,4,0
400110,87490183861,Government official,"Rep. John Dingell [D, MI-15]",MI,15,427,17,0,213,18,0,140,2,0,1211,84,0
400111,154050553704,Government official,"Rep. Lloyd Doggett [D, TX-25]",TX,25,598,5,0,244,7,0,378,5,0,934,22,0
412420,189008781117534,Government official,"Rep. Bob Dold [R, IL-10]",IL,10,267,5,1,175,4,0,238,1,0,683,21,1
412205,168059529893610,Government official,"Rep. Joe Donnelly [D, IN-2]",IN,2,358,5,1,184,8,0,207,1,0,869,26,3
400114,79663724861,Government official,"Rep. Michael Doyle [D, PA-14]",PA,14,150,2,1,0,0,0,136,6,5,304,8,8
412488,119657691436457,Government official,"Rep. Sean Duffy [R, WI-7]",WI,7,355,4,2,6,0,0,357,3,2,874,4,1
412472,187268144624279,Government official,"Rep. Jeff Duncan [R, SC-3]",SC,3,295,5,2,5,0,0,288,14,12,817,15,14
400116,102385999834718,Government official,"Rep. John Duncan [R, TN-2]",TN,2,110,0,0,0,0,0,68,0,0,151,0,0
300038,180436795325335,Government official,"Sen. Richard Durbin [D, IL]",IL,,674,7,2,0,0,0,656,16,2,1549,12,5
412263,107297211756,Government official,"Rep. Donna Edwards [D, MD-4]",MD,4,210,4,0,251,5,0,67,0,0,302,9,0
412215,7997462059,Government official,"Rep. Keith Ellison [D, MN-5]",MN,5,285,2,1,2,0,0,96,1,0,337,1,1
412457,167641493275000,Government official,"Rep. Renee Ellmers [R, NC-2]",NC,2,357,5,4,207,3,3,454,2,2,737,9,7
400121,7912365134,Politician,"Rep. Jo Ann Emerson [R, MO-8]",MO,8,615,3,2,219,2,2,351,1,0,805,1,0
400122,103355984852,Government official,"Rep. Eliot Engel [D, NY-17]",NY,17,347,15,1,256,29,11,275,12,11,1044,87,0
300041,23068049436,Government official,"Sen. Michael Enzi [R, WY]",WY,,423,5,0,313,8,0,162,0,0,409,7,0
400124,174979964227,Government official,"Rep. Anna Eshoo [D, CA-14]",CA,14,283,4,1,1,0,0,188,4,0,524,1,1
412482,186894244673001,Government official,"Rep. Blake Farenthold [R, TX-27]",TX,27,299,7,4,201,8,7,236,6,3,464,5,5
400129,7018136294,Government official,"Rep. Sam Farr [D, CA-17]",CA,17,298,1,1,0,0,0,162,2,2,363,0,0
400130,165961823475034,Government official,"Rep. Chaka Fattah [D, PA-2]",PA,2,165,0,0,0,0,0,72,0,0,208,0,0
300043,6314129300,Politician,"Sen. Dianne Feinstein [D, CA]",CA,,230,18,7,380,23,10,86,7,2,354,39,6
400133,108902115809485,Government official,"Rep. Bob Filner [D, CA-51]",CA,51,218,6,0,161,9,0,92,1,0,535,5,0
412479,128861763849209,Government official,"Rep. Stephen Fincher [R, TN-8]",TN,8,176,2,0,0,0,0,119,2,0,314,0,0
400646,132077153521454,Government official,"Rep. Michael Fitzpatrick [R, PA-8]",PA,8,365,6,2,0,0,0,489,4,1,1277,7,5
412476,189998554345168,Government official,"Rep. Chuck Fleischmann [R, TN-3]",TN,3,347,3,2,228,6,6,294,8,6,835,5,5
412275,372154186772,Government official,"Rep. John Fleming [R, LA-4]",LA,4,495,5,0,1,0,0,220,4,0,1322,5,0
412480,146176682102245,Government official,"Rep. Bill Flores [R, TX-17]",TX,17,367,3,2,262,0,0,314,12,12,700,3,2
400137,356330225020,Government official,"Rep. Randy Forbes [R, VA-4]",VA,4,693,4,1,0,0,0,784,3,1,1577,4,3
400640,48426842354,Government official,"Rep. Jeffrey Fortenberry [R, NE-1]",NE,1,395,4,1,286,7,1,222,0,0,626,11,0
400140,6660553281,Politician,"Rep. Barney Frank [D, MA-4]",MA,4,61,2,0,2,0,0,0,0,0,109,2,0
412378,15483865491,Politician,"Sen. Al Franken [D, MN]",MN,,785,9,1,0,0,0,293,3,2,1176,14,0
400141,209486545087,Government official,"Rep. Trent Franks [R, AZ-2]",AZ,2,319,6,1,301,7,1,221,18,1,476,91,2
400142,20158179584,Politician,"Rep. Rodney Frelinghuysen [R, NJ-11]",NJ,11,58,0,0,62,0,0,2,0,0,5,0,0
412327,279006440801,Government official,"Rep. Marcia Fudge [D, OH-11]",OH,11,547,5,0,152,7,0,330,5,0,871,19,0
412382,182567716746,Government official,"Rep. John Garamendi [D, CA-10]",CA,10,253,1,0,0,0,0,271,2,0,847,2,0
412406,160924893954206,Government official,"Rep. Cory Gardner [R, CO-4]",CO,4,302,0,0,3,0,0,305,0,0,700,0,0
400145,6756553401,Government official,"Rep. Scott Garrett [R, NJ-5]",NJ,5,423,3,1,4,0,0,470,4,2,1032,0,0
400147,123113211050305,Government official,"Rep. Jim Gerlach [R, PA-6]",PA,6,93,1,0,4,0,0,96,3,0,284,0,0
412463,191159267565100,Government official,"Rep. Bob Gibbs [R, OH-18]",OH,18,215,2,1,151,8,7,231,7,7,564,2,0
412453,190238567659779,Government official,"Rep. Chris Gibson [R, NY-20]",NY,20,216,4,4,333,9,9,391,26,26,430,15,15
412188,96491952193,Government official,"Rep. Gabrielle Giffords [D, AZ-8]",AZ,8,468,0,0,365,0,0,58,0,0,209,0,0
400151,6934467868,Government official,"Rep. John Gingrey [R, GA-11]",GA,11,400,2,0,1,0,0,337,1,0,670,14,0
400651,50375006903,Government official,"Rep. Louis Gohmert [R, TX-1]",TX,1,421,7,0,299,2,0,212,3,0,404,7,0
400152,55174583605,Government official,"Rep. Charles Gonzalez [D, TX-20]",TX,20,247,4,0,6,0,0,221,3,0,469,2,0
400154,6459789414,Government official,"Rep. Robert Goodlatte [R, VA-6]",VA,6,263,2,0,13,0,0,170,2,0,392,0,0
412397,104329699641957,Government official,"Rep. Paul Gosar [R, AZ-1]",AZ,1,136,2,1,96,0,0,148,0,0,373,3,2
412473,143059759084016,Government official,"Rep. Trey Gowdy [R, SC-4]",SC,4,247,2,0,0,0,0,207,1,0,578,13,0
300047,257937783228,Government official,"Sen. Lindsey Graham [R, SC]",SC,,623,5,2,3,0,0,424,4,1,1103,1,1
400157,49640749719,Government official,"Rep. Kay Granger [R, TX-12]",TX,12,398,5,0,197,6,0,227,0,0,723,19,0
300048,106480645796,Government official,"Sen. Charles Grassley [R, IA]",IA,,432,3,2,175,0,0,424,1,1,738,5,3
400158,118514606128,Government official,"Rep. Samuel Graves [R, MO-6]",MO,6,295,2,2,1,0,0,256,4,4,506,1,1
412388,104548906262119,Government official,"Rep. Tom Graves [R, GA-9]",GA,9,366,6,1,16,0,0,356,4,1,953,26,0
400653,136237609724391,Government official,"Rep. Al Green [D, TX-9]",TX,9,87,3,0,58,2,0,15,0,0,125,1,0
400160,128735131872,Government official,"Rep. Raymond Green [D, TX-29]",TX,29,333,19,1,317,33,1,117,2,0,792,122,0
412401,151435304894144,Government official,"Rep. Tim Griffin [R, AR-2]",AR,2,385,4,2,0,0,0,712,2,1,1597,3,2
412485,141893975868919,Government official,"Rep. Morgan Griffith [R, VA-9]",VA,9,278,3,2,230,2,2,311,0,0,663,19,18
